app_version, string, none
ctrl_val, u16, u16ctrl
daylight_saving, bool, none
devel_log_cpu_temp, bool, none
devel_update_test_feed, bool, none
display_bright_flow, bool, none
epoch_s, u64, epoch
filling_active, bool, none
fill_remain_l, u16, l
fill_remain_s, u16, s
flow_lmin10, u8, lmin10
flow_max_delta_steps, i16, none
flow_max_lmin10, u8, lmin10max
gui_screens_up, bool, none
has_RM, bool, none
has_VC, bool, none
home_flow, bool, none
home_time, bool, none
hw_tft_touch, bool, none
is_fast_boot, bool, none
is_fill_amount, bool, none
is_fill_time, bool, none
is_jumper_lock, bool, none
is_power_limit, bool, none
is_temp_setpoint_max, bool, none
is_temp_setpoint_max_scalding_protection, bool, none
is_therm_treat_active, bool, none
is_therm_treat_inhibit, bool, none
leakage, bool, none
modbus_baudrate, u32, none
modbus_broadcast_addr, u8, none
modbus_epoch_s, u64, epoch
modbus_parity, u8, parity
modbus_server_addr, u8, none
modbus_test, bool, none
modbus_test_init, bool, none
modbus_word_order_big_endian, bool, none
mps0_kW10, u16, kW10
mps1_kW10, u16, kW10
mps2_kW10, u16, kW10
mps3_kW10, u16, kW10
mps_id_end, u8, u8mpsid
mps_id, u8, u8mpsid
net_aws, bool, none
net_matter_api, bool, none
net_rest_api_auth, bool, none
net_rest_api, bool, none
net_rest_api_tls, bool, none
net_sntp_client_up, bool, none
net_sntp_from_dhcp, bool, none
power_kW10, u16, kW10
power_max_kW10, u16, kW10
power_PC, u8, PC
pu_error, u8, none
sound, bool, none
start_jingle, bool, none
stat_show_costs, bool, none
system_do_reboot, bool, none
system_do_reboot_next, bool, none
system_do_reset, bool, none
temp_in_C10, u16, C10
temp_out_C10, u16, C10
temp_setpoint_C10, u16, C10main
temp_setpoint_delta_steps, i16, none
temp_setpoint_max_scalding_protection_C10, u16, C10max
timer_do_stop_flow, bool, none
timer_stop_if_flow0, bool, none
total_energy_Wh, u32, Wh
total_tap_count, u32, none
total_volume_l, u32, l
update_check_daily, bool, none
update_do_all, bool, none
update_do_app, bool, none
update_do_check, bool, none
update_do_www, bool, none
update_use_beta, bool, none
vc_is_closed, bool, none
wlan_active, bool, none
wlan_ap, bool, none
wlan_restart, bool, none
wlan_scan, bool, none
wlan_setup, bool, none
wlan_ssid, string, none
wlan_sta_bssid_set, bool, none
